OCID,CONTRACT_TITLE,CONTRACT_TYPE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY
22-CENSIDA-DAI-LPIBCTE-INSABI-E113-2022,"Adquisición de agentes de diagnóstico (pruebas rápidas) con clave 080.829.5539, para los ejercicios fiscales 2023 y 2024",Adquisiciones,Licitación Pública,CENSIDA,CONTROL TECNICO Y REPRESENTACIONES S.A. DE C.V.,2023-01-01,2024-12-31,16060325,MXN
23-CENSIDA-DAI-LPIBCTE-INSABI-E113-2022,"Adquisición de agentes de diagnóstico (pruebas rápidas) con claves 080.829.5356 y 080.980.0001, para los ejercicios fiscales 2023 y 2024",Adquisiciones,Licitación Pública,CENSIDA,"INTERBIOL, S.A. DE C.V.",2023-01-01,2024-12-31,68199121,MXN
24-CENSIDA-DPPS-LPIBCTE-INSABI-E113-2022,"Adquisición de gel lubricante con clave 060.596.0137, para los ejercicios fiscales 2023 y 2024",Adquisiciones,Licitación Pública,CENSIDA,MAPE+TZIN SA DE CV,2023-01-01,2024-12-31,33594351,MXN
25-CENSIDA-DAI-LPIBCTE-INSABI-E113-2022,"Adquisición de agentes de diagnóstico (pruebas rápidas) con clave 080.980.0001, para los ejercicios fiscales 2023 y 2024",Adquisiciones,Licitación Pública,CENSIDA,PREVENCION Y SOLUCIONES K-B SA DE CV,2023-01-01,2024-12-31,44460581,MXN
26-CENSIDA-DAI-LPIBCTE-INSABI-E113-2022,"Adquisición de reactivos y agentes de diagnóstico con claves 080.784.7991 y 080.829.5463, para los ejercicios fiscales 2023 y 2024",Adquisiciones,Licitación Pública,CENSIDA,TECNOLOGIA MEDICA INTERAMERICANA SA DE CV,2023-01-01,2024-12-31,94403688,MXN
27-CENSIDA-DPPS-LPIBCTE-INSABI-E113-2022,Adquisición de condón masculino con clave 060.308.0177 y gel lubricante con clave 060.596.0137 para los ejercicios fiscales 2023 y 2024,Adquisiciones,Licitación Pública,CENSIDA,TRENKES SA DE CV,2023-01-01,2024-12-31,73788901,MXN
01-CENSIDA-DAI-LPIAE-INSABI-E115-2023,"Adquisición de sucedáneo de leche humana de termino con clave 030.000.0011.00, para los ejercicios fiscales 2023 y 2024",Adquisiciones,Licitación Pública,CENSIDA,SANULAC NUTRICION MEXICO S DE RL DE CV,2023-01-01,2024-12-31,15005706,MXN
02-CENSIDA-DAI-LPIAE-INSABI-E115-2023,"Adquisición de sucedáneo de leche humana de pretermino con clave 030.000.0003.00, para los ejercicios fiscales 2023 y 2024",Adquisiciones,Licitación Pública,CENSIDA,Marcas Nestle,2023-01-01,2024-12-31,2456312,MXN
03-CENSIDA-DAI-LPIAE-INSABI-1-2023,"Adquisición del medicamento Valganciclovir con clave 010.000.4373.00, para los ejercicios fiscales 2023 y 2024",Adquisiciones,Reporte de otras contrataciones y contrataciones con crédito externo,CENSIDA,SAGO MEDICAL SERVICE SA DE CV,2023-02-15,2024-12-31,2095267,MXN
04-CENSIDA-DAI-LPIAE-INSABI-1-2023,"Adquisición del medicamento Valganciclovir con clave 010.000.4373.00, para los ejercicios fiscales 2023 y 2024",Adquisiciones,Reporte de otras contrataciones y contrataciones con crédito externo,CENSIDA,AMAROX PHARMA SA DE CV,2023-02-15,2024-12-31,1243949,MXN
